SID,2008-08-23,2008-08-25,2008-09-01,2008-09-08,2008-09-15,2008-09-22,2008-09-29,2008-10-06,2008-10-13,2008-10-20,2008-10-27,2008-11-03,2008-11-10,2008-11-17,2008-11-24,2008-12-01,2008-12-08,2008-12-15
03466616,0,1,2,3,3,4,5,5,5,6,6,7,7,8,8,8,8,9
03468024,0,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
03468846,1,4,5,7,7,8,8,9,9,9,9,10,11,11,11,11,12,12
03469185,0,0,0,0,2,2,3,3,3,4,4,5,6,6,6,7,8,8
03469454,2,2,3,3,4,4,5,5,5,6,6,6,7,7,7,8,8,8
03470196,2,3,3,4,4,4,5,5,6,6,7,7,8,8,8,8,9,9
03472222,1,3,3,4,4,5,5,5,6,6,6,6,8,8,8,8,8,8
03472598,2,4,5,5,5,6,7,7,8,9,9,11,11,12,12,13,13,13
03472850,0,3,5,7,9,12,14,15,16,16,17,18,18,19,19,20,20,20
03474059,0,2,2,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6
03474260,2,3,5,7,8,10,11,13,14,15,16,16,17,17,17,19,19,20
03479385,1,3,4,5,6,7,7,8,9,10,10,11,11,11,11,12,13,13
03480358,0,2,3,4,5,5,6,9,9,9,10,10,10,11,11,11,11,12
03482103,1,3,3,5,6,7,7,8,9,10,10,11,12,12,12,13,14,14
03482255,2,4,4,6,6,7,8,8,9,10,10,11,11,12,12,12,13,13
03482581,2,3,3,3,4,5,5,6,7,7,8,9,9,9,9,10,11,11
03482890,2,3,5,7,7,8,8,9,10,10,11,12,12,12,12,13,14,14
03483707,2,3,4,5,6,6,7,7,8,8,9,9,9,9,9,10,11,11
03483780,0,1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
03484296,2,3,4,5,6,6,6,7,7,8,9,9,9,10,10,11,11,12
03484975,0,2,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10
03486573,3,3,4,6,7,7,7,8,8,8,9,10,10,11,11,11,12,12
03487983,3,6,8,11,12,13,14,15,15,16,16,17,18,19,19,19,20,20
03489015,2,5,6,9,9,10,10,11,13,13,14,14,15,15,15,15,15,15
03490117,1,3,4,5,6,7,8,9,10,11,11,11,12,12,12,12,12,12
03490613,0,1,2,3,5,6,6,6,7,7,9,9,10,11,11,11,11,11
03491803,2,3,4,4,5,5,6,7,7,7,7,7,8,8,8,9,9,9
03492794,2,4,5,6,7,7,7,7,8,8,9,9,10,10,10,11,12,13
03493933,0,0,1,2,3,3,4,5,5,5,5,5,5,6,6,6,6,6
03495135,2,4,4,5,6,7,9,10,11,12,14,15,16,17,17,18,20,20
03495724,1,2,3,4,4,5,5,5,6,7,7,8,8,8,8,8,8,9
03498558,0,5,5,5,6,6,7,7,8,8,8,9,9,9,9,9,9,9
03498992,0,2,4,5,5,6,6,7,7,8,8,10,10,10,10,11,11,12
03500443,2,5,6,7,8,9,9,10,11,11,11,12,12,12,12,13,14,14
03503505,0,1,2,2,2,2,3,3,3,4,4,4,5,5,5,5,5,5
03504457,0,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
03505841,2,4,4,5,5,6,7,8,8,8,8,9,9,10,10,10,11,11
03507694,0,2,3,3,3,3,4,4,4,5,5,6,7,7,7,8,9,9
03507722,0,2,3,4,5,5,6,7,7,7,8,8,9,9,9,9,10,10
03507794,2,3,4,4,5,7,8,9,9,10,10,11,11,11,11,12,12,12
03508070,2,4,5,6,7,8,9,10,10,10,11,12,12,13,13,13,14,14
03508426,0,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5
03509226,0,3,3,4,4,5,5,7,7,7,8,8,8,8,8,9,9,9
03511948,0,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
03512434,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
03512663,2,4,5,6,7,8,10,10,10,11,11,11,12,12,12,13,13,14
03513079,0,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4
03513207,2,3,4,5,6,6,7,7,8,8,9,10,10,10,10,11,11,11
03513403,0,3,4,4,4,4,5,5,5,6,6,6,6,6,6,7,7,7
03515746,2,4,5,6,7,8,8,9,9,9,9,10,10,11,11,11,12,12
03516944,2,3,3,5,5,6,6,7,7,7,8,8,9,9,9,10,10,10
03519501,2,4,5,6,7,8,9,10,11,12,13,13,13,13,13,14,14,15
03519618,2,3,4,5,6,7,7,7,7,8,8,8,8,8,8,8,9,9
03522806,2,3,4,5,6,7,8,9,10,11,11,12,13,15,15,16,16,17
03523467,0,4,4,5,5,6,7,7,7,8,8,8,8,8,8,9,9,9
03525646,0,3,5,6,7,8,9,10,11,12,12,13,13,14,14,15,15,16
03526211,1,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6
03528654,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,4,4,4
03528871,2,4,5,6,6,7,8,8,8,8,10,11,11,11,11,11,12,12
03529339,1,3,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6
03530556,0,3,4,5,6,7,8,9,10,11,12,12,12,13,13,14,14,14
03532126,2,3,5,5,5,6,6,7,7,8,9,9,10,10,10,10,10,10
03535472,2,3,4,5,6,7,8,8,9,9,10,11,12,13,13,13,14,14
03535508,2,8,8,8,8,9,9,9,9,9,10,10,10,11,11,11,11,11
03536637,2,3,4,6,7,8,9,9,10,10,10,11,11,12,12,12,13,13
03537304,0,2,2,2,3,4,6,6,7,8,9,11,12,12,12,12,12,12
03537988,1,2,3,4,5,5,5,5,5,6,6,7,7,7,7,7,7,7
